Time;Symbol;CurrentPrice;M15MA7;M15MA13;M15MA26;M15MA52;M15MA104;M15MA208;M15BOLL132U;M15BOLL132L;M15KDJ853M;M15KDJ853S;M15RSI14;M15MA180;M15MA360;M15MA540;H1MA7;H1MA13;H1MA26;H1MA52;H1MA104;H1MA208;H1BOLL132U;H1BOLL132L;H1KDJ853M;H1KDJ853S;H1RSI14;H1MA180;H1MA360;H1MA540;
2015.02.19 15:37:23;EURUSD;1.13825;1.13758;1.13852;1.14018;1.14085;1.1392;1.13973;1.14122;1.13503;63;45;42;1.13959;1.13905;1.13859;1.13986;1.14069;1.13907;1.13975;1.13929;1.1362;1.14521;1.13623;25;24;46;1.13679;1.13679;1.13754;
2015.02.19 15:37:53;EURUSD;1.13835;1.1376;1.13853;1.14018;1.14086;1.1392;1.13973;1.14122;1.13503;63;45;43;1.13959;1.13905;1.13859;1.13984;1.14067;1.13906;1.13974;1.13929;1.1362;1.14521;1.13623;25;23;45;1.13679;1.13679;1.13754;
2015.02.19 15:38:23;EURUSD;1.13829;1.13759;1.13852;1.14018;1.14085;1.1392;1.13973;1.14122;1.13503;63;45;42;1.13959;1.13905;1.13859;1.13983;1.14067;1.13906;1.13974;1.13929;1.1362;1.14521;1.13623;25;23;45;1.13679;1.13679;1.13754;
2015.02.19 15:38:53;EURUSD;1.13815;1.13757;1.13851;1.14018;1.14085;1.1392;1.13973;1.14122;1.13503;62;44;41;1.13958;1.13905;1.13859;1.13981;1.14066;1.13906;1.13974;1.13929;1.1362;1.14521;1.13623;24;23;44;1.13679;1.13679;1.13754;
2015.02.19 15:39:23;EURUSD;1.13825;1.13758;1.13852;1.14018;1.14085;1.1392;1.13973;1.14122;1.13503;63;45;42;1.13959;1.13905;1.13859;1.13982;1.14066;1.13906;1.13974;1.13929;1.1362;1.14521;1.13623;24;23;44;1.13679;1.13679;1.13754;
2015.02.19 15:39:53;EURUSD;1.13819;1.13758;1.13851;1.14018;1.14085;1.1392;1.13973;1.14122;1.13503;62;44;42;1.13958;1.13905;1.13859;1.13982;1.14066;1.13906;1.13974;1.13929;1.1362;1.14521;1.13623;24;23;44;1.13679;1.13679;1.13754;
2015.02.19 15:40:23;EURUSD;1.13805;1.13755;1.1385;1.14017;1.14085;1.1392;1.13973;1.14122;1.13503;61;44;41;1.13958;1.13905;1.13859;1.13979;1.14065;1.13905;1.13974;1.13929;1.1362;1.14521;1.13623;24;23;44;1.13679;1.13679;1.13754;
2015.02.19 15:40:53;EURUSD;1.13804;1.13755;1.1385;1.14017;1.14085;1.1392;1.13973;1.14122;1.13503;61;44;41;1.13958;1.13905;1.13859;1.13979;1.14065;1.13905;1.13974;1.13929;1.1362;1.14521;1.13623;24;23;44;1.13679;1.13679;1.13754;
2015.02.19 15:41:23;EURUSD;1.13807;1.13756;1.1385;1.14017;1.14085;1.1392;1.13973;1.14122;1.13503;61;44;41;1.13958;1.13905;1.13859;1.1398;1.14065;1.13905;1.13974;1.13929;1.1362;1.14521;1.13623;24;23;44;1.13679;1.13679;1.13754;
2015.02.19 15:41:53;EURUSD;1.13825;1.13758;1.13852;1.14018;1.14085;1.1392;1.13973;1.14122;1.13503;63;45;42;1.13959;1.13905;1.13859;1.13982;1.14066;1.13906;1.13974;1.13929;1.1362;1.14521;1.13623;24;23;44;1.13679;1.13679;1.13754;
2015.02.19 15:42:23;EURUSD;1.13816;1.13757;1.13851;1.14018;1.14085;1.1392;1.13973;1.14122;1.13503;62;44;41;1.13958;1.13905;1.13859;1.13981;1.14066;1.13906;1.13974;1.13929;1.1362;1.14521;1.13623;24;23;44;1.13679;1.13679;1.13754;
2015.02.19 15:42:53;EURUSD;1.13814;1.13757;1.13851;1.14018;1.14085;1.1392;1.13973;1.14122;1.13503;62;44;41;1.13958;1.13905;1.13859;1.13981;1.14066;1.13906;1.13974;1.13929;1.1362;1.14521;1.13623;24;23;44;1.13679;1.13679;1.13754;
