Time;Symbol;CurrentPrice;M15MA7;M15MA13;M15MA26;M15MA52;M15MA104;M15MA208;M15BOLL132U;M15BOLL132L;M15KDJ853M;M15KDJ853S;M15RSI14;M15MA180;M15MA360;M15MA540;H1MA7;H1MA13;H1MA26;H1MA52;H1MA104;H1MA208;H1BOLL132U;H1BOLL132L;H1KDJ853M;H1KDJ853S;H1RSI14;H1MA180;H1MA360;H1MA540;H4KDJ853M;zMA;iBOLL;zM15KDJ;zH1KDJ
2015.03.13 16:30:07;EURUSD;1.05737;1.05752;1.05779;1.05912;1.05968;1.06078;1.0585;1.05916;1.05641;28;41;41;1.05847;1.06527;1.07356;1.05915;1.05964;1.06073;1.05857;1.06798;1.08679;1.06302;1.05627;17;39;43;1.08188;1.10469;1.11557;43;1;0;-10;-30
2015.03.13 16:30:27;EURUSD;1.05734;1.05752;1.05778;1.05912;1.05968;1.06078;1.0585;1.05916;1.05641;28;41;41;1.05847;1.06527;1.07356;1.05914;1.05964;1.06073;1.05857;1.06798;1.08679;1.06302;1.05626;17;39;43;1.08188;1.10469;1.11557;43;1;0;-10;-30
2015.03.13 16:30:42;EURUSD;1.05727;1.05751;1.05778;1.05912;1.05968;1.06078;1.0585;1.05916;1.05639;27;41;40;1.05847;1.06527;1.07356;1.05913;1.05964;1.06073;1.05857;1.06798;1.08679;1.06303;1.05624;17;39;43;1.08188;1.10469;1.11557;43;0;0;-10;-30

Time;Symbol;CurrentPrice;M15MA7;M15MA13;M15MA26;M15MA52;M15MA104;M15MA208;M15BOLL132U;M15BOLL132L;M15KDJ853M;M15KDJ853S;M15RSI14;M15MA180;M15MA360;M15MA540;H1MA7;H1MA13;H1MA26;H1MA52;H1MA104;H1MA208;H1BOLL132U;H1BOLL132L;H1KDJ853M;H1KDJ853S;H1RSI14;H1MA180;H1MA360;H1MA540;H4KDJ853M;zMA;iBOLL;zM15KDJ;zH1KDJ
2015.03.09 14:57:04;EURUSD;1.08669;1.08787;1.08827;1.08717;1.08569;1.08666;1.09455;1.09011;1.08643;9;24;46;1.09301;1.10175;1.10743;1.08523;1.08894;1.09558;1.10037;1.10861;1.11824;1.0989;1.07898;7;7;21;1.11582;1.12634;1.12967;6;10;0;-15;-30
2015.03.09 14:57:22;EURUSD;1.08671;1.08787;1.08827;1.08717;1.08569;1.08666;1.09455;1.09011;1.08644;9;24;46;1.09301;1.10175;1.10743;1.08697;1.08568;1.08628;1.09427;1.10379;1.11484;1.08946;1.0819;64;82;43;1.11165;1.12401;1.12815;21;10;0;-15;0
2015.03.09 14:57:44;EURUSD;1.08641;1.08783;1.08825;1.08716;1.08568;1.08665;1.09455;1.09017;1.08633;10;25;45;1.09301;1.10175;1.10743;1.08693;1.08565;1.08627;1.09426;1.10379;1.11483;1.08942;1.08189;63;81;42;1.11164;1.12401;1.12815;21;15;-7;-15;0
2015.03.09 14:58:04;EURUSD;1.08617;1.08779;1.08823;1.08715;1.08568;1.08665;1.09455;1.09023;1.08623;12;25;44;1.09301;1.10175;1.10743;1.08689;1.08564;1.08626;1.09426;1.10379;1.11483;1.08939;1.08188;61;81;41;1.11164;1.12401;1.12815;20;15;-7;-15;0
2015.03.09 14:58:24;EURUSD;1.08624;1.08781;1.08824;1.08716;1.08568;1.08665;1.09455;1.09021;1.08626;12;25;44;1.09301;1.10175;1.10743;1.08691;1.08564;1.08626;1.09426;1.10379;1.11483;1.0894;1.08189;62;81;42;1.11164;1.12401;1.12815;20;15;-7;-15;0
